model,mae,rmse,psnr,ssim,corr,clpips
[ens_weighted],0.069527850122499,0.11279016854746782,19.276073247646895,0.7117424884645065,0.9077294642769523,0.3635587459153468
[ens3_equal],0.06968072588822924,0.11327337099257673,19.234098250323004,0.7096543391742328,0.9066860755158238,0.35929733389379953
a2_gan+TTA,0.07246663754271103,0.11787715698085209,18.910322925832013,0.6943792500118218,0.8987485400929667,0.31645819515284923
a1_rgb+TTA,0.07326447403076852,0.11982248293807601,18.734135004553465,0.7034630253173337,0.8957341569397816,0.3684721133201429
a1_rgb_s2_512+TTA,0.07387730837937924,0.12116633150910977,18.633142645996397,0.7030903192439882,0.894626251077445,0.3687562187856967
a4_physics8+TTA,0.07479605379302313,0.12360294611368439,18.418181461863,0.6962763268758755,0.8897938027544835,0.39068115391943714
a1_rgbda+TTA,0.07569816133173385,0.1245855924922346,18.37497411387982,0.6966129328944896,0.887765821896576,0.39244230659586365
a4_physics+TTA,0.08188536331647693,0.13359199184002263,17.667059780347465,0.6821275943576699,0.8708772933640928,0.43367273589171984
a1_rgbd+TTA,0.08275718513027866,0.13543122940429367,17.54491366490279,0.6816267716412497,0.8682217370356401,0.4392067735443021
a1_small+TTA,0.08349510304408499,0.13589007160303615,17.519256261315675,0.6802985438025824,0.8661976372953634,0.44659019918134896
a1_solar_512+TTA,0.0842835843046703,0.13598827755834797,17.50822412849653,0.6796232488485846,0.8686546051732517,0.4377315972406085
a1_unreg+TTA,0.08914783176514182,0.1429773089614245,17.081548421689778,0.669740360562164,0.8482906973723977,0.5002602658944555
