label,family,run,dataset,eval_dataset,seed,target_normalization,train_sigma,eval_sigma,translation_frac,rotation_deg,scale_frac,epochs,train_count,val_count,final_mae,final_rmse,final_psnr,final_ssim,final_corr,note,path
ConvNeXt no-reg,convnext_no_reg,week6_convnext_unet_no_registration_ann_arbor_robust_sigma03_seed42_e50,ann_arbor,ann_arbor,42,robust,0.3,0.3,0.2,20.0,0.25,50,336,41,0.10474618905928076,0.16718788136069368,15.636505964325696,0.536197171705525,0.8119595981421817,Week 6 seed 42 baseline,week6_runs/week6_convnext_unet_no_registration_ann_arbor_robust_sigma03_seed42_e50
ConvNeXt no-reg,convnext_no_reg,week7_convnext_no_registration_ann_arbor_robust_sigma03_seed7_e50,ann_arbor,ann_arbor,7,robust,0.3,0.3,0.2,20.0,0.25,50,336,41,0.09764043132706386,0.15967228663403812,16.062413285418256,0.5503898771797738,0.8301460177143888,Week 7 seed audit,week7_runs/week7_convnext_no_registration_ann_arbor_robust_sigma03_seed7_e50
ConvNeXt no-reg,convnext_no_reg,week7_convnext_no_registration_ann_arbor_robust_sigma03_seed123_e50,ann_arbor,ann_arbor,123,robust,0.3,0.3,0.2,20.0,0.25,50,336,41,0.10040969183532203,0.16235244601238064,15.91830002389303,0.5441721481520955,0.8223290943719618,Week 7 seed audit,week7_runs/week7_convnext_no_registration_ann_arbor_robust_sigma03_seed123_e50
ConvNeXt affine,convnext_affine,week5_matched_compute_aa_affine_lam0p5_robust_seed42_e50,ann_arbor,ann_arbor,42,robust,0.3,0.3,0.2,20.0,0.25,50,336,41,0.09869335464588026,0.1619051291448314,15.920215327565263,0.5485820726650518,0.8283597041377533,Week 5 matched-compute reused,week5_runs/week5_matched_compute_aa_affine_lam0p5_robust_seed42_e50
ConvNeXt affine,convnext_affine,week7_convnext_affine_lam0p5_ann_arbor_robust_sigma03_seed7_e50,ann_arbor,ann_arbor,7,robust,0.3,0.3,0.2,20.0,0.25,50,336,41,0.09431697137472106,0.15521414341723047,16.315446714075602,0.5564204032828168,0.839109793420168,Week 7 seed audit,week7_runs/week7_convnext_affine_lam0p5_ann_arbor_robust_sigma03_seed7_e50
ConvNeXt affine,convnext_affine,week7_convnext_affine_lam0p5_ann_arbor_robust_sigma03_seed123_e50,ann_arbor,ann_arbor,123,robust,0.3,0.3,0.2,20.0,0.25,50,336,41,0.09680167985398595,0.15785890690437177,16.162208301265064,0.5541679895505672,0.8336430332551754,Week 7 seed audit,week7_runs/week7_convnext_affine_lam0p5_ann_arbor_robust_sigma03_seed123_e50
Swin-T no-reg,swin_no_reg,week6_swin_unet_ann_arbor_robust_sigma03_seed42_e50,ann_arbor,ann_arbor,42,robust,0.3,0.3,0.2,20.0,0.25,50,336,41,0.0964825388680144,0.15868730999917977,16.123163598002375,0.5664815146748613,0.8341625226847319,Week 6 seed 42 baseline,week6_runs/ann_arbor/week6_swin_unet_ann_arbor_robust_sigma03_seed42_e50
Swin-T no-reg,swin_no_reg,week7_swin_no_registration_ann_arbor_robust_sigma03_seed7_e50,ann_arbor,ann_arbor,7,robust,0.3,0.3,0.2,20.0,0.25,50,336,41,0.09421128443465,0.15483352335032635,16.33470794488728,0.5670731394756131,0.8406866628837508,Week 7 seed audit,week7_runs/ann_arbor/week7_swin_no_registration_ann_arbor_robust_sigma03_seed7_e50
Swin-T no-reg,swin_no_reg,week7_swin_no_registration_ann_arbor_robust_sigma03_seed123_e50,ann_arbor,ann_arbor,123,robust,0.3,0.3,0.2,20.0,0.25,50,336,41,0.09728778835113455,0.1573586556603789,16.227542657170087,0.5654374368307067,0.836139944152096,Week 7 seed audit,week7_runs/ann_arbor/week7_swin_no_registration_ann_arbor_robust_sigma03_seed123_e50
Swin-T affine,swin_affine,week7_swin_affine_lam0p5_ann_arbor_robust_sigma03_seed42_e50,ann_arbor,ann_arbor,42,robust,0.3,0.3,0.2,20.0,0.25,50,336,41,0.0980451982014063,0.16066110831130842,16.001003798060278,0.5665380700332362,0.8331128016589443,Week 7 stacking check,week7_runs/ann_arbor/week7_swin_affine_lam0p5_ann_arbor_robust_sigma03_seed42_e50
